artist,track,seeds,genre,clean_text
Tim Buckley,Lorca,['spooky'],experimental,let sun sing smile let wind hold desire let womans voice run veins let blood feel ashamed home one wants give life tired ease fears ah stranger born give faith oh man death highways life owe praise love flows way river dries stand shiver oh let sun sing smile let wind hold desire let womans voice run veins let blood feel ashamed life owe owe love
Dave Matthews Band,Dreamgirl,['calm'],rock,yeah ya yeah yeah ya yeah oh yeah hey alright would dig hole way china unless course dig way home digging could steal wind sails greedy men ruled world still best friend good good drunk wake make love deep sleep dreaming dreaming dreamgirl dreamgirl dreamgirl yeah dreamgirl feeling like creep watched asleep face grass park middle hot afternoon top untied thought nice follow sweat spine like best friend oh good good drink wake make love deep sleep dreaming dreaming dreamgirl yeah dreamgirl dreamgirl yeah dreamgirl caught wave back ocean knocks feet find footing come dreamgirl oh dreamgirl mumble man deep end
Train,California 37,"['positive', 'energetic']",rock,knock knock two thousand twelve brand new year cleaning house singing songs shedding light righting wrongs ding dong witch ai dead still trying take bread four years girls grown bitch got ta leave alone good happy flea mountain dogs see little music cured hurt put hate six feet dirt looking heaven need look california thiry seven took right heaven door knock knock whoah oh rock california thirty seven took right heaven door think train could ever roll fuel used inspiration hit dead end san francisco got done four one five took nine one one thank believin wo let truth attitude replaced greed gratitude replaced pretty key dude truth rude making love mistakes working hard instead looking breaks came way eighth great lake fond thirty seven reasons stay looking heaven need look california thirty seven took right heaven door knock knock whoah oh rock california thirty seven took right heaven door looking heaven need look california thirty seven took right heaven door
Warren Zevon,Porcelain Monkey,"['sarcastic', 'sardonic', 'cynical']",rock,accident waiting happen accidents happen home maybe gone often maybe answered phone shoutin gold lame earned regal sobriquet threw away porcelain monkey threw away porcelain monkey gave figureine traded night las vegas face velveteen shotgun shack singing pentacostal hymns wrought iron gate tv room little world smaller hand rockabilly ride glitter gloom left behind latest trends eatin friend chicking regicidal friends story ends porcelain monkey threw away porcelain monkey gave figureine traded night las vegas face velveteen shoutin gold lame earned regal sobriquet threw away porcelain monkey threw away porcelain monkey gave figureine traded night las vegas face velveteen
Owl City,Hot Air Balloon,['happy'],electronic,wrote prelude fairy tale bought parachute church rummage sale mean sewing machine miles thread sewed day navy red wound race track mom kitchen chairs fought shadows back dark basement stairs lit match let catch light room yelled beheld old maroon hot air balloon mind ideas pretty soon let spend afternoon cold hot air balloon leave jacket behind lean touch treetops town ca wait kiss ground wherever touch back drank great lakes like cold lemonade got stomach aches sprawled shade bored death held breath tried yawn made frown turn upside worries gone mind ideas pretty soon let spend afternoon cold hot air balloon leave jacket behind lean touch treetops town ca wait kiss ground wherever touch back mind ideas pretty soon let spend afternoon cold hot air balloon leave jacket behind lean touch treetops town ca wait kiss ground wherever touch back
Rod Stewart,I Don't Want To Talk About It,['romantic'],classic rock,tell eyes probably cryin forever stars sky mean nothin mirror want talk broke heart stay little bit longer stay wo listen heart whoa heart stand alone shadows hide colors heart blue tears black night stars sky mean nothin mirror want talk broke heart stay little bit longer stay wo listen heart whoa heart heart heard want talk broke heart stay little bit longer stay wo listen heart whoa heart heart whoa heart
Keith Urban,You're Not Alone Tonight,['sentimental'],country,drink forget us reality gets real fires hell close let know make believe someone watchin chorus call angel call muse call karma got comin difference name matters never ever losin faith gon na alright alone tonight days nothing goes planned soul world seems understand someone talk give anything well go cry loud someone listenin chorus keep faith alive one chorus oh cry want go
Sting,I Burn For You,"['playful', 'erotic', 'sensual']",rock,found evening smile shade parasol love flows though drink pool burn burn lovers night time folds around bed peace sleep entwined love flows though ocean soothes head burn burn stars fall dark skies ancient rocks turning quiet fills room love flows though lie still burn burn burn
Yo La Tengo,Saturday,['dreamy'],indie,room filled talk anyone listening found spot door one around let mind go tune tune kept smile face anyone looking tried turn away questions asked let mind go tune tune engrossed film without really watching said guy gun involved let mind go tune tune
David Bowie,Fly,['intense'],rock,david bowie fly televisions walking throught yard life sweet crying car dying weekend kids alright smell much sellup garage decks stuff dying weekend boys charge mother know never got around yet tell soul make crazy fine screaming head fly close eyes fly televisions walking throught yard life sweet crying car dying weekend kids gon na get right way looking pretty though still want say really go backstreet skinny get cries bad judge saturday another life line dying weekend fine screaming head fly close eyes fly fly fall end fly fine screaming head fly close eyes fly
Unwritten Law,Shallow,['aggressive'],punk,well sometimes seems understand way think told supposed think know best well want see standing next seems got nothing much say dying lying next turn head walk away sometimes seems might losing touch maybe try much get told crazy nothing could say would phase want see standing next seems got nothing much say dying lying next turn head walk away hey walk alone thought always carved stone life revolves according think mean fucking thing yeah see make farther well want see standing next seems got nothing much say dying lying next turn head walk away want see standing next seems got nothing much say dying lying next turn head walk away
The Weeknd,Often,"['dark', 'sexy']",r&b,usually love sleeping alone time around bring friend ai really going sleep ai gon na catch sneak pictures city young god pussy kill vicious god pockets get redder devil go nauseous hook ask every day said often ask many times rode wave often bitches either way often baby make pussy rain often often often girl often make pussy poppin want often often girl often make pussy poppin want often infatuated fame status wan na ride inside grain matted come around leave nigga like ai matter girl drinkin day need change bladder happy crew back town go downtown whole hour man matter never sour smokin somethin much louder ask every day said often ask many times rode wave often bitches either way often baby make pussy rain often often often girl often make pussy poppin want often often girl often make pussy poppin want often oooh sun risin night almost night almost done see eyes wan na go girl go girl go ask every day said often ask many times rode wave often bitches either way often baby make pussy rain often often often girl often make pussy poppin want often often girl often make pussy poppin want often
New Order,Run Wild,"['romantic', 'elegiac', 'reflective', 'hypnotic', 'calm']",new wave,open hearts empty spaces dusty roads distant places time alone think grown far wide sweet simple jehovah knows sinful jesus comes take hand wo let go wo let go cruel evil like stupid people ca decide book read unless paper sows seed kind person always wanted well really cool always say right things tell something heart beats deep inside never burden love never die never die never die never die never die jesus comes take hand wo let go wo let go jesus comes take hand wo let go wo let go good times around corner good times around corner good times around corner swear getting warmer good times around corner good times around corner good times around corner gon na live die gon na live get high
John Martyn,Smiling Stranger,['stately'],rock,may never lay head without hand hold may never make bed cold like great strong brother mine know love true never talk dirty behind back know please wo please wo bear mind love lesson learn time please wo please wo bear mind may never lay head without hand hold may never make bed cold like good close sister know love true hold blade stab back know please wo please wo bear mind love lesson learn time please wo please wo bear mind may never lay head without hand hold may never make bed cold well like great strong brother mine know love like never talk behind back know time could please wo please please bear mind life lesson learn time wo please wo bear mind may never lose temper get hit bar room fight may never lose woman night may never lay head without hand hold may never make bed cold please wo please please wo bear mind life lesson learn time wo please wo bear mind
Radiohead,A Reminder,"['ethereal', 'melancholy']",rock,get old give remind remind free cool sit cross arms hold song knock smash brains take chair start talk shit get old remind way kissed really meant whatever happens still speaking pick phone play song
The Beatles,Junk,['soft'],classic rock,motorcars handlebars bicycles two broken hearted jubilee parachutes army boots sleeping bags two na na na na jamboree buy buy motorcars handlebars bicycles two broken hearted jubilee parachutes army boots sleeping bags na na na jamboree buy buy shopwindow says sign yard buy buy says sign shop window says junk yard
Will Smith,It's All Good,['positive'],hip hop,good pop bubbly life lovely sun rain strain ca complain pass hell pain coumbaya got good life strife real nice papa son trey haha tour mad gone smile come runnin screamin daddy home hold slightly tightly mom wish came got one like life good good things come wait late life great wait wan na celebrate good times livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good wake every morning canopy bed slip kiss miss man says mirror mirror need call know uno bad breath times fed still let doin dirt work kept head set future much love girl north pole got butt cold sittin top world feelin high touch ceiling sky say smile cause top pie yo cream finance smile little grin got longevity got family backin livin happily ever love laughter hussle cause wants cause ask made polar caps melt fp phenomenon true juan jon blaze fonz ai seen happy days track plays shades singin phrase livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good say clothes make man take hand watch freak tryin ta creep tryin entice let nah baby saw set proposition trio rio menage trois marde gras nah clothes versace attitude cocky imanyaki like felon tellin next front cause paid flex southwestern crib like villa vacation mountain manilla rhyme spilla real thrilla real clear talkin east west talkin hemispheres papa raised fool many zeros check like oooooooooooohh livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good livin lovin lovin livin good lovin livin good
Yeah Yeah Yeahs,Art Star,['sexy'],indie,working piece speaks sex desperation screwing tracks abandoned train stations one two three four art star art star art star art star art star art star art star art star got dealer tokyo got rep paris got agent cologne shit got gallery new york madhouse modern life madhouse faithless bride art star art star art star art star x54
King Diamond,Haunted,['grim'],metal,stay away molly soul keeps returning every night attic shrine never alone living dolls nowhere crying mommy house forver haunted nothing molly living dolls alive wait see solo mike stay away jane molly mother slowly went insane house forver haunted nothing molly living dolls alive wait see solo andy mommy mommy destroy
Yoko Ono,Midsummer New York,['distraught'],singer-songwriter,wake morning hands cold fear midsummer new york heart shakes terror heart hands legs mind evrything touch shaking shaking shaking shaking shake shake shake shake shake shake oooh wake morning beds wet sweat midsummer new york scream mirror door chairs floor ceiling evrything see aching shaking shaking shaking shake shake shake shake shake shake oooh shake shake shake shake shake shake shake shake shake shake shake oooh wake morning minds dried pain midsummer new yorks waiting rain window trees park sun whole world shaking shaking shaking shake shake shake shake shake shake shake oooh shake oh shake oh shake shake oh shake shake aching aching aching aching aching oh aching aching aching oh aching aching aching oh aching aching oh oh shaking shaking shake shake shake shake shake shake shake shake shake shake oh shake shake shake shake shake shake shake shake shake shake shake shake shake ooh oh shake shake shake shake oh oh oh oh aching oh oh aching aching aching aching shake shake shaking shaking shaking shaking shaking ooh oh shaking oh shake oh oh shaking shaking shaking shaking oh oh shaking shake shake shake shake shake shake shake shake oh oh oh shake shake
Johnny Cash,First Time Ever I Saw Your Face,['romantic'],country,first time ever saw face thought sun rose eyes moon stars gifts gave dark endless sky love first time ever kissed mouth felt earth move hands like trembling heart captive bird command first time ever lay felt heart close mine know joy would fill earth last end time love first time ever saw face
Foo Fighters,Home,"['sad', 'mellow']",rock,wish could stay every direction leads away pray tomorrow today want home stand mirror look looking shelter cold pain someone cover safe rain want home echoes silence patience grace moments never replace fear heart absence faith want home want home people loved regrets might remember might forget livin dead want home
Nine Inch Nails,The Greater Good,"['dark', 'atmospheric']",industrial,breathe us slowly slowly breathe us slowly everything everywhere go anything want anything everything everywhere go anything want anything breathe everything everywhere go us anything want anything slowly everything everywhere go slowly anything want breathe breathe us slowly slowly breathe us slowly slowly persuasion coercion submission passive ovation persuasion breathe coercion us submission slowly passive ovation slowly persuasion breathe coercion us submission slowly passive ovation slowly breathe persuasion us coercion slowly submission slowly passive ovation breathe persuasion us coercion slowly submission slowly passive ovation breathe us slowly slowly breathe us slowly slowly breathe us slowly slowly breathe us slowly slowly breathe us slowly
Robbie Williams,Karma Killer,"['angry', 'intense', 'eccentric', 'powerful']",rock,naughty naughty cut easily forget still around managed die yet could prop bar hell sleep never loved never good enough thought leave falling forever karma killer needless say guess know hate full sin even devil rates hope choke bacardi coke breathe cry come never ask man stand deliver karma killer sleep never loved never good enough thought leave falling forever karma killer karma killer karma killer karma killer hope choke bacardi coke look take look take look take look take need take revenge cos coming get hope friend cos coming get karma killer karma killer karma killer karma killer karma killer karma killer
Eurythmics,Julia,"['spooky', 'mysterious']",synthpop,julia leaves turn green brown autumn shades come tumbling julia leave carpet ground laid julia winter leaves branches bare icy breezes chill air oh julia freezing snow lies everywhere darling still oh julia julia spring rejoices lane everything new everything oh julia leaves turn green brown autumn shades come tumbling julia leave carpet ground laid oh julia julia winter leaves branches bare icy breezes chill air oh julia freezing snow lies everywhere darling still julia still still oh julia still julia julia still still julia still still
Joy Division,Atmosphere,"['epic', 'melancholy', 'sad', 'atmospheric']",post-punk,walk silence walk away silence see danger always danger endless talking life rebuilding walk away walk silence turn away silence confusion illusion worn like mask confronts dies walk away people like find easy naked see walking air hunting rivers streets every corner abandoned soon set due care walk away silence walk away
Yo La Tengo,Little Eyes,['dreamy'],indie,took walk alone last night slept inside head raining hard crawled back bed tried catch moved fast thought million things fell asleep last got last night tore town skidding tires screeching brakes barely make sound winding road going 65 slid along icy stretch made back alive little eyes open see far hurt ones love ones thinking little eyes open sinking back know sleeping much long wake little eyes moving gaining ground climbing escalator takes last night heard sound echoed everywhere like buzzing amplifier burning air still raining hard said clue ever gon na stop guess little eyes open see far hurt ones love ones thinking little eyes open sinking back know sleeping much long wake little eyes
Radiohead,Fitter Happier,['sad'],alternative,fitter happier productive comfortable drinking much regular exercise gym three days week getting better associate employee contemporaries ease eating well microwave dinners saturated fats patient better driver safer car baby smiling back seat sleeping well bad dreams paranoia careful animals never washing spiders plughole keep contact old friends enjoy drink frequently check credit moral bank hole wall favors favors fond love charity standing orders sundays ring road supermarket killing moths putting boiling water ants car wash also sundays longer afraid dark midday shadows nothing ridiculously teenage desperate nothing childish better pace slower calculated chance escape concerned powerless empowered informed member society pragmatism idealism cry public less chance illness tires grip wet shot baby strapped back seat good memory still cries good film still kisses saliva longer empty frantic like cat tied stick driven frozen winter shit ability laugh weakness calm fitter healthier productive pig cage antibiotics
Raffi,Baby Beluga,['playful'],kids,baby beluga deep blue sea swim wild swim free heaven sea little white whale go baby beluga oh baby beluga water warm mama home happy way yonder dolphins play dive splash day waves roll waves roll see water squirtin spout baby beluga oh baby beluga sing little song sing friends like hear baby beluga deep blue sea swim wild swim free heaven sea little whale go dark home fed curl snug water bed moon shining stars good night little whale good night baby beluga oh baby beluga tomorrow sun another day begun soon waking baby beluga deep blue sea swim wild swim free heaven sea little whale go little white whale go
Metallica,Mama Said,['sad'],metal,mama taught well told young son life open book close done brightest flame burns quickest heard say son heart owed mother must find way let heart go let son grow mama let heart go let heart still yeah still rebel new last name wild blood veins apron strings around neck mark still remains left home early age heard wrong never asked forgiveness said done let heart go let son grow mama let heart go let heart still never ask never gave gave emptiness take grave never ask never gave gave emptiness take grave let heart still mama coming home wished mother love son unspoken helped yeah took love granted things said need arms welcome cold stone see let heart go let son grow mama let heart go let heart still let heart go mama let heart go never let heart go let heart still never ask never gave gave emptiness take grave never ask never gave gave emptiness take grave let heart still
Xscape,Do You Want To,['smooth'],r&b,hey baby want know one thing want much want say never kissed never made call told love fall would pleasure know name oh look silly back love nothing tell nothing hope love way love chorus x2 want like want love say want like want want make love say never understand love takes control oh asked girl let go would crazy love without hate think happily wo around nothing tell nothing say promise stay dying day
Jason Mraz,Curbside Prophet,['fun'],singer-songwriter,curbside prophet hand pocket waiting rocket come curbside prophet hand pocket waiting rocket see started way back nyc stole first rhyme west end avenue 63 beginning leap year february guitar picked mix committed licks like nickel back tricks well look look look curbside prophet hand pocket waiting rocket come curbside prophet hand pocket waiting rocket well never gon na guess regrets bet whole checking account amounts nothing end well count road soon radio dial payin close attention willie nelson style like band gypsies highway one man pushin california skyline drive coast mc brag pickin pace makin time like space ghost raising toast highway patrol put cruise control coast tourin around nation extended vacation see got elsa dog exceeds limitation say like style crazy pound pup need ride well come girl hop truck curbside prophet hand pocket waiting rocket come curbside prophet hand pocket waiting rocket curbside prophet hand pocket waiting rocket come curbside prophet hand pocket waiting rocket see home brother redneck undercover guitar ready play sucker filly got natural ability give freestyle look flexibility dangerous mike ghetto hat cocked right ladies say yo kid crazy backstage betties taking get say hey hey something different world today well changed traffic sign brighter yellow hey hey something different world today changed traffic sign brighter yellow curbside prophet curbside prophet curbside prophet curbside come curbside prophet waiting rocket come
Korn,Tearjerker,"['nostalgic', 'powerful']",nu metal,well wish someone well wish someone love used someone knew someone loved sit frozen alone even ghosts get tired go home crawl back stars wish something please tell theres something better wish something saturated loneliness wish could feel wish could steal abduct corrupt never saturated loneliness silence get lonely silence get lonely knows hearing tell hearing tell go home cause freaks playing tonight packed turned lights wish something please tell theres something better wish something saturated loneliness wish could feel wish could steal abduct corrupt never saturated loneliness bath waters cold life getting old wish could feel wish could feel wish could steal abduct corrupt wish could feel wish could steal wish could feel abduct corrupt never never never never never
Marilyn Manson,User Friendly,['sexy'],industrial,use want come bled touch want die user friendly fucking dopestar obscene die high never die says love gon na fuck somebody better comes along use like whore relationships bore delete ones fucked user friendly fucking dopestar obscene die high never die says love gon na fuck somebody better comes along
Paul Simon,The Vampires,['halloween'],folk,got balls come te mano got balls come te mano frenchie cordero goes hells kitchen sell irish weed well patty boy mama stoop starts bitching spics mongo breed comes son looks like ton cornbeef floating beer says fucking puerto rican dope dealing punk get shit brown ass yeah says fucking puerto rican dope dealing punk get shit brown ass yeah well shanty town irish beat ass good fractured collar bone conio thinking home brave fucking war zone got balls come te mano got cohones come te mano got balls come te mano got cohones come te mano
Kate Bush,Under Ice,['cold'],alternative,wonderful everywhere white river frozen soul ice skating fast speeding past trees leaving little lines ice cotting little lines ice splitting splitting sound silver heels spitting spitting snow sonar says deep something moving ice moving ice water trying get cold water something someone help wake
Ween,Captain Fantasy,['intense'],alternative,please would like somewhere floating free seems destiny captain fantasy take minute go beneath reaches sound could captain fantasy near words life captain fantasy near words life captain fantasy please would like somewhere floating free seems destiny captain fantasy take minute go beneath reaches sound could captain fantasy near words life captain fantasy near words life captain fantasy wow yow ow fantasy fantasy please would like somewhere floating free seems destiny captain fantasy take minute go beneath reaches sound could captain fantasy captain fantasy
Incubus,Medium,['quiet'],funk,medium medium waking smell scent coffee brew think amount sweet like cup today one two lump three lump four half one less give chance let make mine like medium blend piece pie bitter sweet medium enough medium bitter sweet medium enough medium dinner time rolls around think crave steak partial meat cooked long made wait much parsony enough spice think enjoy dish side fries tender tough medium little enough medium tender tough medium little enough medium medium medium medium medium medium medium smell pits could sworn last week scrubbed like like stink little bit keep toes yes stink think smell like rose pleasant bad medium enough hold medium pleasant bad medium enough hold medium medium repeat x6
Ween,Voodoo Lady,"['fun', 'quirky']",alternative,voodoo lady shakin stick drivin crazy eyes look red hazy doin stuff messin voodoo drive crazy boogie oogie oogie oogie oogie oogie oogie oogie drive crazy boogie boogie boogie lips hot spicy servin red beans rice midnite stompin makin love gators swampin chorus feel inside never deny doin stuff knockin voodoo chorus voodoo lady shakin stick drivin crazy voodoo lady oh yeah boogie boogie boogie boogie repeat first verse chorus
John Denver,Fly Away,"['meditative', 'sentimental']",folk,days gone soft cloudy dreams gone dry nights gone sad shady getting ready fly fly away fly away fly away life city make crazy sounds sand sea life make hungry things ca even see fly away fly away fly away whole world nobody lonely nowhere go nowhere rather looking lovers children playing looking signs spring listens laughter sounds dancing listens old things fly away fly away fly away
Josh Groban,Awake,['wistful'],easy listening,beautiful blinding morning world outside begins breathe see clouds arriving without warning need shelter know time tell us carry without keep awake memorize give time feel way ca stay like forever next today could make moments endless could stop winds change keep eyes wide open everything would stay know time tell carry without keep awake every moment give us time way ca stay like forever next today let tomorrow wait right fears fall away see ca stay like forever today remember oh remember remember love shared today
Kinks,Misfits,['poignant'],rock,sleeping field look real rested set outrage ca get arrested say image new looks well tested lost without crowd yet go way say summer gone winter crawlin say even day somehow never could quite fit though cold outside know summer gon na come know say every dog day misfit afraid run away hide misfit life join crowd come inside wander round town like lost way chance day yet threw away know say every dog day look losers mad eyed gazers look looneys sad eyed failures giving living care take good look around misfits everywhere la la la la la la misfit afraid run away hide misfit life join crowd come inside wander round town like lost way chance day yet threw away lost crowd yet still go way chance time throw away day yes true say every dog day
Bob Dylan,Dixie,['cheerful'],folk,wish land cotton old times forgotten look away look away look away dixie land chorus dixie land born early one frosty morn look away look away look away dixie land wish dixie away away dixie land take stand live die dixie away away away south dixie away away away south dixie chorus wish dixie away away dixie land take stand live die dixie away away away south dixie away away away south dixie
John Denver,My Sweet Lady,['tender'],country,lady crying tears belong think time together gone lady dreaming close swear time begun close eyes rest weary mind promise stay right beside today lives joined became entwined wish could know much love lady happy feel way meanings never seen lady sweet lady ca believe true like never ever loved chorus lady crying tears belong think time together gone lady sweet lady close swear time begun
Jimi Hendrix,Midnight Lightning,['trippy'],classic rock,midnight lightning flashing around lord see flashin around trees see flashin love wake sweet darlin see light upon eyes blue light flashin shadow leapin church bells ring made night hey love please stand watch midnight lightning flashin flashin around country house thunder flashin see fields lie tree little dream
Ice Cube,What Can I Do?,['lazy'],rap,country prison society sends failures country society failing today like mix 1986 got fix chicken quota got baking soda let water boil workers loyal dropped wealth shorter midget knees slang keys infest hood crack mack take nation millions hold back big britches got bitches hittin switches niggas want riches used get 18 g alive key number another summer police ai get dumber streets dried used think would last thing past tried blast selling boulder got ass minnesota got crew brand new damn today already done stack half mill ticket bought house next prince kick got ends wavin friends rollin benz goin see twins play dome police tappin mobile phone almost home gettin excited indited spent grip year tryin fight lawyer got paid plea contest everything got repossessed take look dust happy got 36 months never picked book arms 16 inches niggas look ca wait get crew see today fucked pen back la bailin dough everybody got ta start scratch work niggas smirk say ai nothin poppin lb tell ai crack everybody jackin coupe sent troops even tho got muscle ai hustle takin niggas shit tussle skills pay bills takin education battle inflation college degree dumb ass g yeah nigga got baby way damn mess ever convicted felony yes took advice uncle fester dressed polyester welcome mcdonald may please help shit today white man broke every law known man establish amerikkka put state penitentiary put federal penitentiary breaking laws gon na look see motherfucker guilty laws put jail drug using drug selling armed robbery strong armed robbery grand larceny rape racketeering conspiracy commit murder extortion aggravated assault mayhem sodomy black man trespassing embezzlement purgery kidnapping smuggling grand theft brandishing firearm carrying concealed weapon breaking entering premeditated murder guilty every charge
Paul Simon,Patterns,['sentimental'],folk,night sets softly hush falling leaves casting shivering shadows houses trees light street lamp paints pattern wall like pieces puzzle child uneven scrawl narrow flight stairs narrow little room lie upon bed early evening gloom impaled wall eyes dimly see pattern life puzzle moment birth instant death patterns must follow must breathe breath like rat maze path lies pattern never alters rat dies pattern still remains wall darkness fell fitting darkness must dwell like color skin day grow old life made patterns scarcely controlled
Our Lady Peace,Hello Oskar,['bitter'],alternative rock,well wondering oskar oskar right never cool allowed fit never knew liked rubberman rubber dress betty page eyes never cool never settle allowed drive build bridge walk around ever call dumb bright take somewhere somewhere unwind tangled shit make mine superstar taxi man young einstein
Lionel Richie,You Are,"['romantic', 'smooth']",soul,baby find one love mine got much love needing love never let go got much love want hold let show much love baby show mind mind loving girl love one chorus sun rain makes life foolish game need know love tell true ca believe got much love love see stay together got much love know tell love baby show mind mind tell girl love always thinking sun rain makes life foolish game need know love know know way feel need love always fall love baby sun rain makes life foolish game need know love sun rain baby makes life foolish game need know love sun rain makes life foolish game need know love sun rain makes life foolish game need know love
Coldplay,Don't Panic,['mellow'],rock,bones sinking like stones fought homes places grown us done live beautiful world yeah yeah live beautiful world bones sinking like stones fought homes places grown us done live beautiful world yeah yeah live beautiful world live beautiful world yeah yeah live beautiful world oh know nothing run cause everybody got somebody lean
Matt Redman,If I Have Not Love,['spiritual'],worship,jesus could sing tongues men angels love clanging cymbal empty sound 2x chorus love song love song jesus love song song devotion reverent passion savior love song jesus could pray faith moves mountain love noise resounding empty sound 2x chorus 2x love song hear devotion chorus overflow hearts gaze upon beauty reflection worth seen glimpse glory lord
Radiohead,Talk Show Host,"['sexy', 'melancholy', 'sad', 'mellow']",alternative,want want someone else explode floatin upon surface birds birds birds want fuckin well come find waitin gun pack sandwiches nothin nothin nothin want well come break door want fuckin come break door ready ready ready ready ready
Fall Out Boy,Jet Pack Blues,['thoughtful'],pop punk,verse 1 got jet pack blues like judy kind makes june feel like september last one ever remember trying find peace mind behind highway lines city goes silent ringing ears gets violent long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time chorus remember baby come home remember baby come home remember baby come home remember baby come home ever love know never want alone singing baby come home baby come home verse 2 got jet pack blues fight light tonight stay honey leave remember used split drink never mattered think hands close sweetness never lasted long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time chorus remember baby come home remember baby come home remember baby come home remember baby come home ever love know never want alone singing baby come home baby come home bridge long black coat tonight waiting downpour outside singing baby come home melody tears rhythm rain keeps time outro remember baby come home remember baby come home remember baby come home remember baby come home ever love know never want alone singing baby come home baby come home
Patti Smith,Wicked Messenger,['angry'],rock,wicked messenger eli come mind multiplied smallest matter questioned sent answered thumb tongue could speak flatter stayed behind assembly hall made bed oftentimes could seen returning one day appeared note hand read soles feet swear burning oh leaves began fallin seas began part people confronted many told words opened heart ye bring good news bring
Patti Smith,Maria,['literate'],rock,edge world one yet girl one edge world desert heat one shivering star sweet indiscreet knew young knew gone little narcissus pool drawn spell saw raw excitable knew young knew gone know precariousness young powers emptiness wild wild hair sad sad eyes white shirt black tie mine grabbed ring carousel tangoing heaven hell knew
Stevie Wonder,Don't Drive Drunk,"['elaborate', 'poignant']",funk,wife problems played like nothing wrong comes home work early find girl gone oh gets cupboard picks bottle gin drinks like tomorrow decides take spin drive drunk drive drunk drive drunk mothers drunk drivers mad teenager live party says give one road already inebriated lit smoke explode bartender says think young one says deal staggering says check later really think drive drunk drive drunk drive drunk mothers drunk drivers mad repeat background drive drunk drive drunk drive drunk hicup repeat boy girl first date gets pulled law officer says hey ca drive straight drinking alcohol boy says man crazy cop says hey walk line results breathalyzer proves charged drive drunk drive drunk drive drunk mothers drunk drivers mad repeat background drive drunk drive drunk drive drunk hicup repeat
Procol Harum,Pilgrims Progress,"['literate', 'reflective']",rock,sat write simple story maybe end became song trying find words might begin found thoughts brought along first took weight anchor gathered fears guide round clearly saw delusion found struggles bogged starting thought go exploring set foot upon nearest road vain looked find promised turning saw far home searching forsook paths learning sought instead find pirate gold fighting hurt dearest still hidden truths could unfold sat write simple story maybe end became song words writ one taking turns trying pass oh taking turns trying pass
Ed Sheeran,Kiss Me,"['romantic', 'calm', 'mellow']",acoustic,settle cover cuddle lie hold arms heart chest lips pressed neck falling eyes know yet feeling forget love kiss like wan na loved wan na loved wan na loved feels like falling love falling love falling love settle safety lady made keep body warm cold wind blows hold arms oh heart chest lips pressed neck falling eyes know yet feeling forget love kiss like wan na loved wan na loved wan na loved feels like falling love falling love falling love yeah feeling everything hate love love lust lust truth guess know hold close help give kiss like wan na loved wan na loved wan na loved feels like falling love falling love falling love kiss like wan na loved wan na loved wan na loved feels like falling love falling love
Hillsong,Healer,"['passionate', 'strong']",worship,hold moment calm raging seas walk fire heal disease trust trust believe healer believe need believe believe portion believe enough jesus need hold moment calm raging seas walk fire heal disease trust lord trust believe healer believe need oh believe believe portion believe enough jesus need nothing impossible nothing impossible nothing impossible hold world hands nothing impossible nothing impossible nothing impossible hold world hands believe healer believe need oh yes yes believe portion lord believe enough jesus need enough jesus need healer
Weezer,Keep Fishin',['happy'],rock,never better kind leave world behind waste days waste days drown aways drown aways chorus thought love someone else breaks heart see hangin shelf never things want move get job waste days waste days drown aways drown aways chorus oh girl love keep fishin feel true nothing much save waste days waste days drown aways drown aways chorus oh girl love keep fishin feel true nothing much save never better kind never better kind whoa ohh whoa ohh x 7 waste days waste days x 7
Jimmy Buffett,Barefoot Children,['summery'],rock,scratch back lightning bolt thunder rolls like bass drum note sound weather heaven ragtime band fell milky way hangin till judgment day heaven knows command barefoot children rain got need explain swingin ball chain always understood play game barefoot children rain show show mine take back days full monkeyshines bouncin bubble full trouble summer sun keep raft riverboat fiction fact always vote wrinkles go smiles barefoot children rain got need explain swingin ball chain always understood play game barefoot children rain barefoot children rain scratch back lightning bolt thunder rolls like bass drum note sound weather heaven ragtime band sky turns blue sun appears question still doin think answer close hand barefoot children rain got need explain swingin ball chain always understood play game barefoot children rain rain rain
Natalie Imbruglia,Identify,"['ominous', 'spooky']",soundtrack,eyes send eternity heart may cast hell lately love condemnation enough identify please identify want standing side identify tears mine lonely alive time say test love hands speaking felt movement go ice breaking wonder identify life leave empty see survive every questioned hour every second devoured let wonder myth missed identify please identify want standing side identify tears mine lonely alive lonely alive
